,st_grp,year,month,month_m,indexP,indexPlower,indexPupper,temp,humidity,precip,threshold_3,threshold_4,threshold_5,human,other,species,abundance,pir,pir_lci,pir_uci,vector_index,month_n,year_f,year_grp,all_cases,indexP_lag1,temp_lag1,vector_index_lag1,vector_index_lag2,eeev_detected
210,MA,2019,Oct,01/10/2019,0.018,0.008,0.032,12.489,76.154,5.139,0,0,0,,,Culiseta melanura,,,,,,10,2019,2019,0,0.164,17.503,,,1
211,MA,2020,May,01/05/2020,0.042,0.015,0.082,13.756,62.529,1.954,0,0,0,,,NA,,,,,,5,2020,other,0,NA,NA,,,NA
212,MA,2020,Jun,01/06/2020,0.275,0.127,0.498,20.064,70.52,2.022,0.335,0.124,0,,,NA,,,,,,6,2020,other,0,0.042,13.756,,,NA
213,MA,2020,Jul,01/07/2020,0.496,0.246,0.898,23.66,75.202,1.663,1,0.972,0.454,,,NA,,,,,,7,2020,other,1,0.275,20.064,,,NA
214,MA,2020,Aug,01/08/2020,0.383,0.191,0.658,22.393,72.327,1.605,0.905,0.385,0.04,,,NA,,,,,,8,2020,other,3,0.496,23.66,,,NA
215,MA,2020,Sep,01/09/2020,0.159,0.076,0.279,17.839,72.199,1.738,0.027,0,0,,,NA,,,,,,9,2020,other,1,0.383,22.393,,,NA
216,MA,2020,Oct,01/10/2020,0.026,0.012,0.047,11.889,77.743,3.58,0,0,0,,,NA,,,,,,10,2020,other,0,0.159,17.839,,,NA
217,NY,2003,May,01/05/2003,0.028,0.011,0.066,13.001,74.007,3.913,0,0,0,,,NA,,,,,,5,2003,other,0,NA,NA,,,NA
218,NY,2003,Jun,01/06/2003,0.263,0.119,0.555,18.321,75.212,4.28,0.413,0.05,0.003,,,NA,,,,,,6,2003,other,0,0.028,13.001,,,NA
219,NY,2003,Jul,01/07/2003,0.441,0.203,0.917,21.759,72.902,2.869,0.981,0.55,0.212,,,NA,,,,,,7,2003,other,0,0.263,18.321,,,NA
220,NY,2003,Aug,01/08/2003,0.519,0.223,1.223,22.054,78.242,3.18,0.954,0.767,0.515,,,NA,,,,,,8,2003,other,0,0.441,21.759,,,NA
221,NY,2003,Sep,01/09/2003,0.209,0.09,0.463,17.35,78.872,3.889,0.201,0.063,0.015,,,NA,,,,,,9,2003,other,2,0.519,22.054,,,NA
222,NY,2003,Oct,01/10/2003,0.008,0.003,0.016,9.611,74.934,3.407,0,0,0,,,NA,,,,,,10,2003,other,5,0.209,17.35,,,NA
223,NY,2004,May,01/05/2004,0.124,0.054,0.263,15.794,74.692,3.914,0.017,0.002,0,,,NA,,,,,,5,2004,other,0,NA,NA,,,NA
224,NY,2004,Jun,01/06/2004,0.23,0.106,0.42,18.403,71.342,2.118,0.091,0,0,,,NA,,,,,,6,2004,other,0,0.124,15.794,,,NA
225,NY,2004,Jul,01/07/2004,0.439,0.187,1.032,20.976,78.581,5.345,0.93,0.608,0.256,,,NA,,,,,,7,2004,other,1,0.23,18.403,,,NA
226,NY,2004,Aug,01/08/2004,0.44,0.181,1.094,20.183,79.108,4.037,0.995,0.603,0.225,,,NA,,,,,,8,2004,other,2,0.439,20.976,,,NA
227,NY,2004,Sep,01/09/2004,0.25,0.106,0.576,17.779,78.348,4.997,0.404,0.105,0.017,,,NA,,,,,,9,2004,other,3,0.44,20.183,,,NA
228,NY,2004,Oct,01/10/2004,0.008,0.003,0.016,10.491,76.829,1.492,0,0,0,,,NA,,,,,,10,2004,other,2,0.25,17.779,,,NA
229,NY,2005,May,01/05/2005,0.039,0.017,0.07,12.022,65.292,1.033,0,0,0,,,NA,,,,,,5,2005,other,0,NA,NA,,,NA
230,NY,2005,Jun,01/06/2005,0.339,0.166,0.605,21.5,73.225,2.885,0.667,0.261,0.003,,,NA,,,,,,6,2005,other,0,0.039,12.022,,,NA
231,NY,2005,Jul,01/07/2005,0.477,0.239,0.839,22.859,72.999,3.451,1,0.922,0.33,,,NA,,,,,,7,2005,other,1,0.339,21.5,,,NA
232,NY,2005,Aug,01/08/2005,0.379,0.187,0.657,22.593,71.944,3.317,0.894,0.388,0.023,,,NA,,,,,,8,2005,other,2,0.477,22.859,,,NA
233,NY,2005,Sep,01/09/2005,0.251,0.119,0.46,18.71,71.582,2.437,0.218,0.001,0,,,NA,,,,,,9,2005,other,0,0.379,22.593,,,NA
234,NY,2005,Oct,01/10/2005,0.028,0.012,0.059,11.02,79.111,7.398,0,0,0,,,NA,,,,,,10,2005,other,1,0.251,18.71,,,NA
235,NY,2006,May,01/05/2006,0.047,0.021,0.089,14.278,67.643,2.883,0,0,0,,,NA,,,,,,5,2006,other,0,NA,NA,,,NA
236,NY,2006,Jun,01/06/2006,0.267,0.129,0.471,18.981,74.321,4.9,0.356,0.031,0,,,NA,,,,,,6,2006,other,0,0.047,14.278,,,NA
237,NY,2006,Jul,01/07/2006,0.46,0.232,0.793,23.009,72.81,4.621,0.997,0.87,0.244,,,NA,,,,,,7,2006,other,0,0.267,18.981,,,NA
238,NY,2006,Aug,01/08/2006,0.315,0.15,0.566,20.729,71.842,3.398,0.536,0.06,0,,,NA,,,,,,8,2006,other,2,0.46,23.009,,,NA
239,NY,2006,Sep,01/09/2006,0.146,0.06,0.33,15.776,77.407,3.072,0.039,0,0,,,NA,,,,,,9,2006,other,3,0.315,20.729,,,NA
240,NY,2006,Oct,01/10/2006,0.005,0.002,0.009,9.627,72.201,4.359,0,0,0,,,NA,,,,,,10,2006,other,0,0.146,15.776,,,NA
241,NY,2007,May,01/05/2007,0.06,0.018,0.122,15.062,57.852,1.254,0,0,0,,,NA,,,,,,5,2007,other,0,NA,NA,,,NA
242,NY,2007,Jun,01/06/2007,0.213,0.082,0.4,19.801,66.872,2.83,0,0,0,,,NA,,,,,,6,2007,other,0,0.06,15.062,,,NA
243,NY,2007,Jul,01/07/2007,0.313,0.148,0.549,20.723,70.849,3.501,0.545,0.086,0,,,NA,,,,,,7,2007,other,0,0.213,19.801,,,NA
244,NY,2007,Aug,01/08/2007,0.306,0.148,0.533,21.078,71.133,2.44,0.543,0.015,0,,,NA,,,,,,8,2007,other,0,0.313,20.723,,,NA
245,NY,2007,Sep,01/09/2007,0.199,0.095,0.352,17.804,70.995,2.011,0,0,0,,,NA,,,,,,9,2007,other,0,0.306,21.078,,,NA
246,NY,2007,Oct,01/10/2007,0.065,0.03,0.121,13.968,74.462,3.265,0,0,0,,,NA,,,,,,10,2007,other,0,0.199,17.804,,,NA
247,NY,2008,May,01/05/2008,0.03,0.01,0.06,12.525,63.472,1.661,0,0,0,,,NA,,,,,,5,2008,other,0,NA,NA,,,NA
248,NY,2008,Jun,01/06/2008,0.26,0.122,0.459,20.341,71.691,3.057,0.329,0.001,0,,,NA,,,,,,6,2008,other,0,0.03,12.525,,,NA
249,NY,2008,Jul,01/07/2008,0.392,0.191,0.702,22.012,72.163,3.851,0.97,0.373,0.032,,,NA,,,,,,7,2008,other,0,0.26,20.341,,,NA
250,NY,2008,Aug,01/08/2008,0.301,0.141,0.565,19.434,73.308,3.165,0.421,0.078,0.013,,,NA,,,,,,8,2008,other,0,0.392,22.012,,,NA
251,NY,2008,Sep,01/09/2008,0.153,0.071,0.286,17.17,75.867,3.07,0.01,0,0,,,NA,,,,,,9,2008,other,3,0.301,19.434,,,NA
252,NY,2008,Oct,01/10/2008,0.005,0.002,0.009,9.163,71.407,3.074,0,0,0,,,NA,,,,,,10,2008,other,2,0.153,17.17,,,NA
253,NY,2009,May,01/05/2009,0.032,0.012,0.062,14.074,65.69,3.172,0,0,0,,,NA,,,,,,5,2009,other,0,NA,NA,,,NA
254,NY,2009,Jun,01/06/2009,0.223,0.101,0.45,17.651,75.435,4.67,0.173,0.019,0.001,,,NA,,,,,,6,2009,other,0,0.032,14.074,,,NA
255,NY,2009,Jul,01/07/2009,0.316,0.152,0.581,19.566,74.695,4.287,0.539,0.1,0.01,,,NA,,,,,,7,2009,other,0,0.223,17.651,,,NA
256,NY,2009,Aug,01/08/2009,0.415,0.194,0.822,21.061,76.405,3.218,0.949,0.545,0.127,,,NA,,,,,,8,2009,other,3,0.316,19.566,,,NA
257,NY,2009,Sep,01/09/2009,0.123,0.055,0.243,15.764,75.874,1.872,0.018,0,0,,,NA,,,,,,9,2009,other,5,0.415,21.061,,,NA
258,NY,2009,Oct,01/10/2009,0.003,0.001,0.005,9.216,74.924,3.234,0,0,0,,,NA,,,,,,10,2009,other,1,0.123,15.764,,,NA
259,NY,2010,May,01/05/2010,0.089,0.038,0.162,16.037,65.591,1.332,0,0,0,,,NA,,,,,,5,2010,other,0,NA,NA,,,NA
260,NY,2010,Jun,01/06/2010,0.292,0.141,0.508,19.76,73.201,2.574,0.354,0.008,0,,,NA,,,,,,6,2010,other,0,0.089,16.037,,,NA
261,NY,2010,Jul,01/07/2010,0.427,0.208,0.738,23.252,69.922,1.994,1,0.711,0.049,,,NA,,,,,,7,2010,other,0,0.292,19.76,,,NA
262,NY,2010,Aug,01/08/2010,0.351,0.173,0.61,21.527,72.473,1.843,0.828,0.164,0.002,,,NA,,,,,,8,2010,other,4,0.427,23.252,,,NA
263,NY,2010,Sep,01/09/2010,0.149,0.07,0.269,17.383,73.428,2.306,0.001,0,0,,,NA,,,,,,9,2010,other,6,0.351,21.527,,,NA
264,NY,2010,Oct,01/10/2010,0.009,0.004,0.017,10.442,72.181,2.548,0,0,0,,,NA,,,,,,10,2010,other,1,0.149,17.383,,,NA
265,NY,2011,May,01/05/2011,0.118,0.056,0.216,15.652,73.621,4.156,0.014,0,0,,,NA,,,,,,5,2011,other,0,NA,NA,,,NA
266,NY,2011,Jun,01/06/2011,0.285,0.14,0.495,19.535,71.215,2.867,0.254,0.001,0,,,NA,,,,,,6,2011,other,0,0.118,15.652,,,NA
267,NY,2011,Jul,01/07/2011,0.395,0.184,0.696,23.492,67.698,1.677,0.965,0.491,0.023,,,NA,,,,,,7,2011,other,2,0.285,19.535,,,NA
268,NY,2011,Aug,01/08/2011,0.414,0.197,0.797,20.941,75.414,6.357,0.999,0.577,0.046,,,NA,,,,,,8,2011,other,11,0.395,23.492,,,NA
269,NY,2011,Sep,01/09/2011,0.246,0.1,0.602,17.958,81.064,5.238,0.294,0.054,0.004,,,NA,,,,,,9,2011,other,2,0.414,20.941,,,NA
270,NY,2011,Oct,01/10/2011,0.029,0.012,0.062,10.717,75.17,3.06,0,0,0,,,NA,,,,,,10,2011,other,0,0.246,17.958,,,NA
271,NY,2012,May,01/05/2012,0.108,0.049,0.197,16.906,70.354,2.976,0,0,0,,,NA,,,,,,5,2012,other,0,NA,NA,,,NA
272,NY,2012,Jun,01/06/2012,0.264,0.114,0.481,19.51,69.423,2.485,0.161,0,0,,,NA,,,,,,6,2012,other,0,0.108,16.906,,,NA
273,NY,2012,Jul,01/07/2012,0.38,0.163,0.69,23.206,67.554,2.282,0.961,0.296,0.038,,,NA,,,,,,7,2012,other,1,0.264,19.51,,,NA
274,NY,2012,Aug,01/08/2012,0.362,0.179,0.635,21.502,71.767,2.134,0.792,0.272,0.044,,,NA,,,,,,8,2012,other,1,0.38,23.206,,,NA
275,NY,2012,Sep,01/09/2012,0.148,0.071,0.266,16.64,74.332,3.607,0.017,0,0,,,NA,,,,,,9,2012,other,0,0.362,21.502,,,NA
276,NY,2012,Oct,01/10/2012,0.011,0.005,0.021,11.723,76.63,3.21,0,0,0,,,NA,,,,,,10,2012,other,0,0.148,16.64,,,NA
277,NY,2013,May,01/05/2013,0.07,0.03,0.129,15.312,64.923,3.267,0,0,0,,,NA,,,,,,5,2013,other,0,NA,NA,,,NA
278,NY,2013,Jun,01/06/2013,0.292,0.141,0.529,19.062,73.445,5.517,0.413,0.219,0.022,,,NA,,,,,,6,2013,other,0,0.07,15.312,,,NA
279,NY,2013,Jul,01/07/2013,0.483,0.239,0.871,23.056,74.696,3.399,0.985,0.725,0.445,,,NA,,,,,,7,2013,other,0,0.292,19.062,,,NA
280,NY,2013,Aug,01/08/2013,0.302,0.148,0.531,20.14,73.634,2.615,0.511,0.009,0,,,NA,,,,,,8,2013,other,0,0.483,23.056,,,NA
281,NY,2013,Sep,01/09/2013,0.146,0.068,0.274,15.795,73.998,2.506,0.037,0.001,0,,,NA,,,,,,9,2013,other,1,0.302,20.14,,,NA
282,NY,2013,Oct,01/10/2013,0.017,0.007,0.032,11.635,72.49,2.141,0,0,0,,,NA,,,,,,10,2013,other,0,0.146,15.795,,,NA
283,NY,2014,May,01/05/2014,0.069,0.027,0.13,15.104,65.375,2.934,0,0,0,,,NA,,,,,,5,2014,other,0,NA,NA,,,NA
284,NY,2014,Jun,01/06/2014,0.258,0.124,0.45,19.945,69.851,3.218,0.311,0,0,,,NA,,,,,,6,2014,other,0,0.069,15.104,,,NA
285,NY,2014,Jul,01/07/2014,0.336,0.167,0.584,21.052,72.026,4.153,0.906,0.02,0,,,NA,,,,,,7,2014,other,1,0.258,19.945,,,NA
286,NY,2014,Aug,01/08/2014,0.311,0.149,0.569,19.87,74.106,2.646,0.641,0.002,0,,,NA,,,,,,8,2014,other,2,0.336,21.052,,,NA
287,NY,2014,Sep,01/09/2014,0.15,0.07,0.278,16.852,74.709,1.32,0.021,0,0,,,NA,,,,,,9,2014,other,10,0.311,19.87,,,NA
288,NY,2014,Oct,01/10/2014,0.026,0.011,0.047,12.055,73.357,2.728,0,0,0,,,NA,,,,,,10,2014,other,1,0.15,16.852,,,NA
289,NY,2015,May,01/05/2015,0.101,0.037,0.195,17.403,62.401,2.289,0,0,0,,,NA,,,,,,5,2015,other,0,NA,NA,,,NA
290,NY,2015,Jun,01/06/2015,0.275,0.131,0.499,18.689,74.553,5.126,0.355,0.014,0,,,NA,,,,,,6,2015,other,0,0.101,17.403,,,NA
291,NY,2015,Jul,01/07/2015,0.334,0.158,0.589,21.687,70.969,2.58,0.881,0.031,0,,,NA,,,,,,7,2015,other,0,0.275,18.689,,,NA
292,NY,2015,Aug,01/08/2015,0.362,0.171,0.642,21.249,70.952,2.168,0.953,0.177,0,,,NA,,,,,,8,2015,other,1,0.334,21.687,,,NA
293,NY,2015,Sep,01/09/2015,0.221,0.106,0.392,19.282,73.428,3.508,0.28,0.01,0,,,NA,,,,,,9,2015,other,2,0.362,21.249,,,NA
294,NY,2015,Oct,01/10/2015,0.007,0.003,0.014,10.131,70.123,2.456,0,0,0,,,NA,,,,,,10,2015,other,0,0.221,19.282,,,NA
295,NY,2016,May,01/05/2016,0.058,0.018,0.115,14.651,65.191,2.052,0,0,0,,,NA,,,,,,5,2016,other,0,NA,NA,,,NA
296,NY,2016,Jun,01/06/2016,0.198,0.059,0.398,19.57,62.718,1.858,0.018,0,0,,,NA,,,,,,6,2016,other,0,0.058,14.651,,,NA
297,NY,2016,Jul,01/07/2016,0.365,0.157,0.66,22.925,68.09,2.74,0.838,0.277,0.008,,,NA,,,,,,7,2016,other,0,0.198,19.57,,,NA
298,NY,2016,Aug,01/08/2016,0.44,0.22,0.761,23.093,72.372,2.806,1,0.833,0.101,,,NA,,,,,,8,2016,other,0,0.365,22.925,,,NA
299,NY,2016,Sep,01/09/2016,0.229,0.112,0.401,18.538,72.038,1.807,0.28,0,0,,,NA,,,,,,9,2016,other,0,0.44,23.093,,,NA
300,NY,2016,Oct,01/10/2016,0.021,0.01,0.039,11.5,75.042,3.608,0,0,0,,,NA,,,,,,10,2016,other,0,0.229,18.538,,,NA
301,NY,2017,May,01/05/2017,0.042,0.018,0.078,13.601,70.5,4.154,0,0,0,,,NA,,,,,,5,2017,other,0,NA,NA,,,NA
302,NY,2017,Jun,01/06/2017,0.263,0.126,0.464,19.307,70.277,3.278,0.311,0.03,0.001,,,NA,,,,,,6,2017,other,0,0.042,13.601,,,NA
303,NY,2017,Jul,01/07/2017,0.41,0.199,0.751,21.468,74.968,3.569,0.998,0.516,0.068,,,NA,,,,,,7,2017,other,0,0.263,19.307,,,NA
304,NY,2017,Aug,01/08/2017,0.306,0.149,0.553,20.023,74.015,2.344,0.533,0.1,0.006,,,NA,,,,,,8,2017,other,0,0.41,21.468,,,NA
305,NY,2017,Sep,01/09/2017,0.241,0.111,0.473,17.92,76.774,1.835,0.08,0,0,,,NA,,,,,,9,2017,other,0,0.306,20.023,,,NA
306,NY,2017,Oct,01/10/2017,0.08,0.036,0.148,14.04,72.881,3.885,0.003,0,0,,,NA,,,,,,10,2017,other,0,0.241,17.92,,,NA
307,NY,2018,May,01/05/2018,0.125,0.053,0.241,17.239,66.909,2.075,0.003,0,0,,,NA,,,,,,5,2018,other,0,NA,NA,,,NA
308,NY,2018,Jun,01/06/2018,0.254,0.113,0.459,19.157,69.972,2.514,0.197,0.002,0,,,NA,,,,,,6,2018,other,0,0.125,17.239,,,NA
309,NY,2018,Jul,01/07/2018,0.434,0.205,0.799,23.137,70.241,3.532,0.99,0.563,0.189,,,NA,,,,,,7,2018,other,0,0.254,19.157,,,NA
310,NY,2018,Aug,01/08/2018,0.588,0.255,1.361,22.628,79.058,3.872,1,0.993,0.836,,,NA,,,,,,8,2018,other,0,0.434,23.137,,,NA
311,NY,2018,Sep,01/09/2018,0.405,0.152,1.167,18.733,81.266,3.841,0.729,0.487,0.263,,,NA,,,,,,9,2018,other,2,0.588,22.628,,,NA
312,NY,2018,Oct,01/10/2018,0.023,0.008,0.06,10.386,77.943,3.075,0.008,0.002,0.001,,,NA,,,,,,10,2018,other,1,0.405,18.733,,,NA
313,NY,2019,May,01/05/2019,0.043,0.019,0.081,13.768,73.175,3.804,0,0,0,,,NA,,,,,,5,2019,2019,0,NA,NA,,,NA
314,NY,2019,Jun,01/06/2019,0.235,0.109,0.419,18.913,69.36,3.802,0.214,0.021,0,,,NA,,,,,,6,2019,2019,0,0.043,13.768,,,NA
315,NY,2019,Jul,01/07/2019,0.427,0.212,0.741,23.213,72.086,2.984,1,0.695,0.088,,,NA,,,,,,7,2019,2019,0,0.235,18.913,,,NA
316,NY,2019,Aug,01/08/2019,0.352,0.174,0.63,20.683,72.927,2.708,0.789,0.186,0.033,,,NA,,,,,,8,2019,2019,6,0.427,23.213,,,NA
317,NY,2019,Sep,01/09/2019,0.181,0.085,0.339,17.393,74.684,1.812,0.032,0.001,0,,,NA,,,,,,9,2019,2019,2,0.352,20.683,,,NA
318,NY,2019,Oct,01/10/2019,0.015,0.007,0.029,11.72,76.715,5.111,0,0,0,,,NA,,,,,,10,2019,2019,2,0.181,17.393,,,NA
319,NY,2020,May,01/05/2020,0.049,0.016,0.098,13.624,62.428,1.881,0,0,0,,,NA,,,,,,5,2020,other,0,NA,NA,,,NA
320,NY,2020,Jun,01/06/2020,0.252,0.1,0.468,20.154,66.112,1.735,0.226,0.027,0.001,,,NA,,,,,,6,2020,other,0,0.049,13.624,,,NA
321,NY,2020,Jul,01/07/2020,0.472,0.236,0.815,23.943,71.411,3.176,1,0.959,0.241,,,NA,,,,,,7,2020,other,3,0.252,20.154,,,NA
322,NY,2020,Aug,01/08/2020,0.382,0.186,0.689,21.571,72.568,3.099,0.907,0.334,0.081,,,NA,,,,,,8,2020,other,5,0.472,23.943,,,NA
323,NY,2020,Sep,01/09/2020,0.129,0.06,0.237,16.78,72.531,1.974,0.025,0.002,0,,,NA,,,,,,9,2020,other,0,0.382,21.571,,,NA
324,NY,2020,Oct,01/10/2020,0.015,0.006,0.034,10.759,76.041,2.645,0,0,0,,,NA,,,,,,10,2020,other,0,0.129,16.78,,,NA